character-simplified|pinyin|definition
诗|shī|abbr. for Shijing 詩經/诗经[Shi1 jing1], the Book of Songs; poem; CL:首[shou3]; poetry; verse
失眠|shīmián|to suffer from insomnia
失去|shīqù|to lose
失业|shīyè|unemployment; to lose one's job
时代|shídài|Time, US weekly news magazine; age; era; epoch; period (in one's life); CL:個/个[ge4]
时刻|shíkè|time; juncture; moment; period of time; CL:個/个[ge4],段[duan4]; constantly; always
时髦|shímáo|in vogue; fashionable
时期|shíqī|period; phase; CL:個/个[ge4]
时尚|shíshàng|fashion; fad; fashionable
实话|shíhuà|truth
实践|shíjiàn|practice; to put into practice; to live up to (a promise); to carry out (a project)
实习|shíxí|to practice; field work; to intern; internship
实现|shíxiàn|to achieve; to implement; to realize; to bring about
实行|shíxíng|to implement; to carry out; to put into practice
实验|shíyàn|experiment; test; CL:個/个[ge4],次[ci4]; experimental; to experiment
实用|shíyòng|practical; functional; pragmatic; applied (science)
食物|shíwù|food; CL:種/种[zhong3]
石头|shítóu|stone; CL:塊/块[kuai4]
使劲儿|shǐjìngér|erhua variant of 使勁/使劲[shi3 jin4]
始终|shǐzhōng|from beginning to end; all along
是否|shìfǒu|whether (or not); if; is or isn't
试卷|shìjuàn|examination paper; test paper; CL:份[fen4],張/张[zhang1]
士兵|shìbīng|soldier; CL:個/个[ge4]
似的|sìde|seems as if; rather like; Taiwan pr. [si4 de5]
事实|shìshí|fact; CL:個/个[ge4]
事物|shìwù|thing; object; CL:個/个[ge4]
事先|shìxiān|in advance; before the event; beforehand; prior
收获|shōuhuò|variant of 收穫/收获[shou1 huo4]; to harvest; to reap; to gain; crop; harvest; profit; gain; bonus; reward
收据|shōujù|receipt; CL:張/张[zhang1]
手工|shǒugōng|handwork; manual
手术|shǒuzhú|(surgical) operation; surgery; CL:個/个[ge4]
手套|shǒutào|glove; mitten; CL:雙/双[shuang1],隻/只[zhi1]
手续|shǒuxù|procedure; CL:道[dao4],個/个[ge4]; formalities
手指|shǒuzhǐ|finger; CL:個/个[ge4],隻/只[zhi1]
受伤|shòushāng|to sustain injuries; wounded (in an accident etc); harmed
寿命|shòumìng|life span; life expectancy; lifetime (of a machine)
书架|shūjià|bookshelf; CL:個/个[ge4]
输入|shūrù|to import; to input
蔬菜|shūcài|vegetables; CL:種/种[zhong3]
舒适|shūshì|cozy; snug
梳子|shūzǐ|comb; CL:把[ba3]
熟练|shúliàn|practiced; proficient; skilled; skillful
鼠标|shǔbiāo|mouse (computing)
属于|shǔyú|to be classified as; to belong to; to be part of
数据|shùjù|data; numbers; digital
数码|shùmǎ|number; numerals; figures; digital; amount; numerical code
摔|shuāi|to throw down; to fall; to drop and break
甩|shuǎi|to throw; to fling; to swing; to leave behind; to throw off; to dump (sb)
双方|shuāngfāng|bilateral; both sides; both parties involved
税|shùi|taxes; duties
说不定|shuōbùdìng|can't say for sure; maybe
说服|shuōfú|to persuade; to convince; to talk sb over; Taiwan pr. [shui4 fu2]
撕|sī|to tear
丝绸|sīchóu|silk cloth; silk
丝毫|sīháo|the slightest amount or degree; a bit
思考|sīkǎo|to reflect on; to ponder over
思想|sīxiǎng|thought; thinking; idea; ideology; CL:個/个[ge4]
私人|sīrén|private; personal; interpersonal; sb with whom one has a close personal relationship; a member of one's clique
似乎|sìhū|apparently; to seem; to appear; as if; seemingly
寺庙|sìmiào|temple; monastery; shrine
宿舍|sùshè|dormitory; dorm room; living quarters; hostel; CL:間/间[jian1]
随时|súishí|at any time; at all times; at the right time
碎|sùi|to break down; to break into pieces; fragmentary
损失|sǔnshī|loss; damage; CL:個/个[ge4]; to lose; to suffer damage
缩短|suōduǎn|to curtail; to cut down
缩小|suōxiǎo|to reduce; to decrease; to shrink
锁|suǒ|to lock up; to lock; lock; CL:把[ba3]; old variant of 鎖/锁[suo3]
所|suǒ|actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個/个[ge4]
所谓|suǒwèi|so-called; what is called
塔|tǎ|pagoda; tower; minaret; stupa (abbr. loanword from Sanskrit tapo); CL:座[zuo4]; old variant of 塔[ta3]
台阶|táijiē|steps; flight of steps; step (over obstacle); fig. way out of an embarrassing situation; bench (geology)
太极拳|tàijíquán|shadowboxing or Taiji, T'aichi or T'aichichuan; traditional form of physical exercise or relaxation; a martial art
太太|tàitài|married woman; Mrs.; Madam; wife; CL:個/个[ge4],位[wei4]
谈判|tánpàn|to negotiate; negotiation; talks; conference; CL:個/个[ge4]
坦率|tǎnlv̀|frank (discussion); blunt; open
烫|tàng|to scald; to burn (by scalding); to blanch (cooking); to heat (sth) up in hot water; to perm; to iron; scalding hot
桃|táo|peach
逃|táo|to escape; to run away; to flee
逃避|táobì|to escape; to evade; to avoid; to shirk
套|tào|to cover; to encase; cover; sheath; to overlap; to interleave; to model after; to copy; formula; harness; loop of rope; (fig.) to fish for; to obtain slyly; classifier for sets, collections; bend (of a river or mountain range, in place names); tau (Greek letter Ττ)
特殊|tèshū|special; particular; unusual; extraordinary
特意|tèyì|specially; intentionally
特征|tèzhēng|characteristic; diagnostic property; distinctive feature; trait
疼爱|téngài|to love dearly
提|tí|to carry (hanging down from the hand); to lift; to put forward; to mention; to raise (an issue); upwards character stroke; lifting brush stroke (in painting); scoop for measuring liquid
提倡|tíchàng|to promote; to advocate
提纲|tígāng|outline; synopsis; notes
提问|tíwèn|to question; to quiz; to grill
题目|tímù|subject; title; topic; CL:個/个[ge4]
体会|tǐhùi|to know from experience; to learn through experience; to realize; understanding; experience
体积|tǐjī|volume; bulk; CL:個/个[ge4]
体贴|tǐtiē|considerate (of other people's needs)
体现|tǐxiàn|to embody; to reflect; to incarnate
体验|tǐyàn|to experience for oneself
天空|tiānkōng|sky
天真|tiānzhēn|naive; innocent; artless
田野|tiányě|field; open land; CL:片[pian4]
调皮|diàopí|naughty; mischievous; unruly
调整|diàozhěng|to adjust; adjustment; revision; CL:個/个[ge4]
挑战|tiāozhàn|to challenge; challenge
通常|tōngcháng|regular; usual; normal; usually; normally
通讯|tōngxùn|communications; news story; dispatch; CL:個/个[ge4]
铜|tóng|copper (chemistry); see also 紅銅/红铜[hong2 tong2]; CL:塊/块[kuai4]
同时|tóngshí|at the same time; simultaneously
统一|tǒngyī|to unify; to unite; to integrate
统治|tǒngzhì|to rule (a country); to govern; rule; regime
痛苦|tòngkǔ|pain; suffering; painful; CL:個/个[ge4]
痛快|tòngkuài|delighted; to one's heart's content; straightforward; also pr. [tong4 kuai5]
投资|tóuzī|investment; to invest
透明|tòumíng|transparent; open (non-secretive)
突出|tūchū|prominent; outstanding; to give prominence to; to protrude; to project
土地|tǔdì|land; soil; territory; CL:片[pian4],塊/块[kuai4]; local god; genius loci
土豆|tǔdòu|potato; CL:個/个[ge4]; (Tw) peanut; CL:顆/颗[ke1]
吐|tǔ|to spit; to put; to say; to vomit; to throw up
兔子|tùzǐ|hare; rabbit; CL:隻/只[zhi1]
团|tuán|round; lump; ball; to roll into a ball; to gather; regiment; group; society; classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke); dumpling
推辞|tūicí|to decline (an appointment, invitation etc)
推广|tūiguǎng|to extend; to spread; to popularize; generalization; promotion (of a product etc)
推荐|tūijiàn|to recommend; recommendation
退|tùi|to retreat; to decline; to move back; to withdraw
退步|tùibù|to do less well than before; to make a concession; setback; backward step; leeway; room to maneuver; fallback
退休|tùixīu|to retire; retirement (from work)
歪|wāi|askew; at a crooked angle; devious; noxious; (coll.) to lie on one's side; to sprain (one's ankle) (Tw)
外交|wàijiāo|diplomacy; diplomatic; foreign affairs; CL:個/个[ge4]
弯|wān|to bend; bent; a bend; a turn (in the road etc); CL:道[dao4]
完美|wánměi|perfect; perfection; perfectly
完善|wánshàn|(of systems, facilities etc) comprehensive; well-developed; excellent; to refine; to improve
完整|wánzhěng|complete; intact
玩具|wánjù|plaything; toy
万一|wànyī|just in case; if by any chance; contingency
王子|wángzǐ|prince; son of a king
往返|wǎngfǎn|to go back and forth; to go to and fro; round trip
微笑|wēixiào|smile; CL:個/个[ge4],絲/丝[si1]; to smile
威胁|wēixié|to threaten; to menace
危害|wēihài|to jeopardize; to harm; to endanger; harmful effect; damage; CL:個/个[ge4]
违反|wéifǎn|to violate (a law)
维护|wéihù|to defend; to safeguard; to protect; to uphold; to maintain
围巾|wéijīn|scarf; shawl; CL:條/条[tiao2]
围绕|wéirào|to revolve around; to center on (an issue)
唯一|wéiyī|only; sole
尾巴|wěibā|tail; colloquial pr. [yi3 ba5]
伟大|wěidà|huge; great; grand; worthy of the greatest admiration; important (contribution etc)
委屈|wěiqū|to feel wronged; to cause sb to feel wronged; grievance
委托|wěituō|to entrust; to trust; to commission
胃|wèi|stomach; CL:個/个[ge4]
位置|wèizhì|position; place; seat; CL:個/个[ge4]
未必|wèibì|not necessarily; maybe not
未来|wèilái|future; tomorrow; CL:個/个[ge4]; approaching; coming; pending
卫生间|wèishēngjiān|bathroom; toilet; WC; CL:間/间[jian1]
温暖|wēnnuǎn|warm
温柔|wēnróu|gentle and soft; tender
闻|wén|surname Wen; to hear; news; well-known; famous; reputation; fame; to smell; to sniff at
文件|wénjiàn|document; file; CL:份[fen4]
文具|wénjù|stationery; item of stationery (pen, pencil, eraser, pencil sharpener etc)
文明|wénmíng|civilized; civilization; culture; CL:個/个[ge4]
文学|wénxué|literature; CL:種/种[zhong3]
吻|wěn|kiss; to kiss; mouth; variant of 吻[wen3]
稳定|wěndìng|steady; stable; stability; to stabilize; to pacify
问候|wènhòu|to give one's respects; to send a greeting; (fig.) (coll.) to make offensive reference to (somebody dear to the person to whom one is speaking)
卧室|wòshì|bedroom; CL:間/间[jian1]
屋子|wūzǐ|house; room; CL:間/间[jian1]
无奈|wúnài|helpless; without choice; for lack of better option; grudgingly; willy-nilly; nolens volens; abbr. for 無可奈何/无可奈何[wu2 ke3 nai4 he2]
无数|wúshù|countless; numberless; innumerable
武器|wǔqì|weapon; arms; CL:種/种[zhong3]
武术|wǔzhú|military skill or technique (in former times); all kinds of martial art sports (some claiming spiritual development); self-defense; tradition of choreographed fights from opera and film (recent usage); also called kungfu 功夫; CL:種/种[zhong3]
雾|wù|fog; mist; CL:場/场[chang2],陣/阵[zhen4]
物理|wùlǐ|physics; physical
物质|wùzhí|matter; substance; material; materialistic; CL:個/个[ge4]
吸收|xīshōu|to absorb; to assimilate; to ingest; to recruit
系|xì|to connect; to relate to; to tie up; to bind; to be (literary); system; department; faculty; to tie; to fasten; to button up; to connect; to arrest; to worry
系统|xìtǒng|system; CL:個/个[ge4]
细节|xìjié|details; particulars
戏剧|xìjù|drama; play; theater
瞎|xiā|blind; groundlessly; foolishly; to no purpose
吓|xià|to scare; to intimidate; to threaten; (interjection showing disapproval) tut-tut; (interjection showing astonishment); to frighten; to scare
下载|xiàzài|to download; also pr. [xia4 zai4]
鲜艳|xiānyàn|bright-colored; gaily-colored
显得|xiǎndé|to seem; to look; to appear
显然|xiǎnrán|clear; evident; obvious(ly)
显示|xiǎnshì|to show; to illustrate; to display; to demonstrate
县|xiàn|county
现金|xiànjīn|cash
现实|xiànshí|reality; actuality; real; actual; realistic; pragmatic; materialistic; self-interested
现象|xiànxiàng|phenomenon; CL:個/个[ge4],種/种[zhong3]; appearance
相处|xiāngchù|to be in contact (with sb); to associate; to interact; to get along (well, poorly)
相当|xiāngdāng|equivalent to; appropriate; considerably; to a certain extent; fairly; quite
相对|xiāngdùi|relatively; opposite; to resist; to oppose; relative; vis-a-vis; counterpart
相关|xiāngguān|related; relevant; pertinent; to be interrelated; (statistics) correlation
相似|xiāngsì|to resemble; similar; like; resemblance; similarity
想念|xiǎngniàn|to miss; to remember with longing; to long to see again
想象|xiǎngxiàng|to imagine; to fancy; CL:個/个[ge4]
享受|xiǎngshòu|to enjoy; to live it up; pleasure; CL:種/种[zhong3]
项|xiàng|surname Xiang; back of neck; item; thing; term (in a mathematical formula); sum (of money); classifier for principles, items, clauses, tasks, research projects etc
项链|xiàngliàn|necklace; CL:條/条[tiao2]
项目|xiàngmù|item; project; (sports) event; CL:個/个[ge4]
橡皮|xiàngpí|rubber; an eraser; CL:塊/块[kuai4]
象棋|xiàngqí|Chinese chess; CL:副[fu4]
象征|xiàngzhēng|emblem; symbol; token; badge; to symbolize; to signify; to stand for
消费|xiāofèi|to consume; to spend
消化|xiāohuà|to digest; digestion; digestive
消灭|xiāomiè|to put an end to; to annihilate; to cause to perish; to perish; annihilation (in quantum field theory)
消失|xiāoshī|to disappear; to fade away
销售|xiāoshòu|to sell; to market; sales (representative, agreement etc)
小吃|xiǎochī|snack; refreshments; CL:家[jia1]
小伙子|xiǎohuǒzǐ|young man; young guy; lad; youngster; CL:個/个[ge4]
小麦|xiǎomài|wheat; CL:粒[li4]
小气|xiǎoqì|stingy; miserly; narrow-minded; petty
小偷|xiǎotōu|thief
效率|xiàolv̀|efficiency
孝顺|xiàoshùn|filial; dutiful; devoted to one's parents (and grandparents etc); to show filial piety towards (an older family member); filial piety
歇|xiē|to rest; to take a break; to stop; to halt; (dialect) to sleep; a moment; a short while
斜|xié|inclined; slanting; oblique; tilting
协调|xiédiào|to coordinate; to harmonize; to fit together; to match (colors etc); harmonious; concerted
心理|xīnlǐ|psychology; mentality
心脏|xīnzāng|heart; CL:顆/颗[ke1],個/个[ge4]
欣赏|xīnshǎng|to appreciate; to enjoy; to admire
信封|xìnfēng|envelope; CL:個/个[ge4]
信号|xìnhào|signal
信息|xìnxī|information; news; message
行动|xíngdòng|operation; action; CL:個/个[ge4]; to move about; mobile
行人|xíngrén|pedestrian; traveler on foot; passer-by; official responsible for arranging audiences with the emperor
行为|xíngwèi|action; conduct; behavior; activity
形成|xíngchéng|to form; to take shape
形容|xíngróng|to describe; description; appearance; look
形式|xíngshì|outer appearance; form; shape; formality; CL:個/个[ge4]
形势|xíngshì|circumstances; situation; terrain; CL:個/个[ge4]
形象|xíngxiàng|image; form; figure; CL:個/个[ge4]; visualization; vivid
形状|xíngzhuàng|form; shape; CL:個/个[ge4]
性质|xìngzhí|nature; characteristic; CL:個/个[ge4]
幸亏|xìngyú|fortunately; luckily
幸运|xìngyùn|fortunate; lucky; fortune; luck
胸|xiōng|variant of 胸[xiong1]; chest; bosom; heart; mind; thorax
兄弟|xiōngdì|brothers; younger brother; CL:個/个[ge4]; I, me (humble term used by men in public speech); brotherly; fraternal
雄伟|xióngwěi|grand; imposing; magnificent; majestic
修改|xīugǎi|to amend; to alter; to modify
休闲|xīuxián|leisure; relaxation; not working; idle; to enjoy leisure; to lie fallow
虚心|xūxīn|open-minded; humble
叙述|xùshù|to relate (a story or information); to tell or talk about; to recount; narration; telling; narrative; account
宣布|xuānbù|to declare; to announce; to proclaim
宣传|xuānchuán|to disseminate; to give publicity to; propaganda; CL:個/个[ge4]
选举|xuǎnjǔ|to elect; election; CL:次[ci4],個/个[ge4]
学期|xuéqī|term; semester; CL:個/个[ge4]
学术|xuézhú|learning; science; academic; CL:個/个[ge4]
学问|xuéwèn|learning; knowledge; CL:個/个[ge4]
寻找|xúnzhǎo|to seek; to look for
询问|xúnwèn|to inquire
训练|xùnliàn|to train; to drill; training; CL:個/个[ge4]
迅速|xùnsù|rapid; speedy; fast
延长|yáncháng|Yanchang county in Yan'an 延安[Yan2 an1], Shaanxi; to prolong; to extend; to delay
严肃|yánsù|solemn; grave; serious; earnest; severe
宴会|yànhùi|banquet; feast; dinner party; CL:席[xi2],個/个[ge4]
阳台|yángtái|variant of 陽臺/阳台[yang2 tai2]; balcony; porch
痒|yǎng|variant of 癢/痒[yang3]; to itch; to tickle; to itch; to tickle
样式|yángshì|type; style
腰|yāo|waist; lower back; pocket; middle; loins
摇|yáo|surname Yao; to shake; to rock; to row; to crank
咬|yǎo|to bite; to nip; variant of 咬[yao3]
要不|yàobù|otherwise; or else; how about...?; either... (or...)
要是|yàoshì|(coll.) if
夜|yè|variant of 夜[ye4]; night
液体|yètǐ|liquid
业务|yèwù|business; professional work; service; CL:項/项[xiang4]
业余|yèyú|in one's spare time; outside working hours; amateur (historian etc)
依然|yīrán|still; as before
一辈子|yībèizǐ|(for) a lifetime
一旦|yīdàn|in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day
一路|yīlù|the whole journey; all the way; going the same way; going in the same direction; of the same kind
一致|yīzhì|unanimous; identical (views or opinions)
遗憾|yíhàn|regret; to regret; to be sorry that
移动|yídòng|to move; movement; migration; mobile; portable
移民|yímín|to immigrate; to migrate; emigrant; immigrant
疑问|yíwèn|question; interrogation; doubt
乙|yǐ|second of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; second in order; letter "B" or Roman "II" in list "A, B, C", or "I, II, III" etc; second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1]); ethyl; bent; winding; radical in Chinese characters (Kangxi radical 5); ancient Chinese compass point: 105°; turning stroke (in Chinese characters); see also 折[zhe2]
以及|yǐjí|as well as; too; and
以来|yǐlái|since (a previous event)
意外|yìwài|unexpected; accident; mishap; CL:個/个[ge4]
意义|yìyì|sense; meaning; significance; importance; CL:個/个[ge4]
议论|yìlùn|to comment; to talk about; to discuss; discussion; CL:個/个[ge4]
义务|yìwù|duty; obligation; CL:項/项[xiang4]; volunteer (work etc)
因而|yīnér|therefore; as a result; thus; and as a result, ...
因素|yīnsù|element; factor; CL:個/个[ge4]
银|yín|silver; silver-colored; relating to money or currency
英俊|yīngjùn|handsome
英雄|yīngxióng|hero; CL:個/个[ge4]
迎接|yíngjiē|to meet; to welcome; to greet
营养|yíngyǎng|nutrition; nourishment; CL:種/种[zhong3]
营业|yíngyè|to do business; to trade
影子|yǐngzǐ|shadow; reflection; (fig.) hint; indication; influence; CL:個/个[ge4]
硬币|yìngbì|coin; CL:枚[mei2]
硬件|yìngjiàn|hardware
应付|yìngfù|to deal with; to cope
应聘|yìngpìn|to accept a job offer; to apply for an advertised position
应用|yìngyòng|to put to use; to apply; practical; applied (science, linguistics etc); application; practical use; (computing) app
拥抱|yǒngbào|to embrace; to hug
拥挤|yǒngjǐ|crowded; to throng; congestion
勇气|yǒngqì|courage; valor
用途|yòngtú|use; application
优惠|yōuhùi|privilege; favorable (terms); preferential (treatment); discount (price)
优美|yōuměi|graceful; fine; elegant
优势|yōushì|superiority; dominance; advantage
悠久|yōujǐu|long (tradition, history etc)
邮局|yóujú|post office; CL:家[jia1],個/个[ge4]
游览|yóulǎn|to go sightseeing; to tour; to visit; CL:次[ci4]
油炸|yóuzhà|to deep fry
犹豫|yóuyù|to hesitate
有利|yǒulì|advantageous; to have advantages; favorable
幼儿园|yòuéryuán|kindergarten; nursery school
娱乐|yúlè|to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy
与其|yǔqí|rather than...; 與其/与其[yu3 qi2] A 不如[bu4 ru2] B (rather than A, better to B)
语气|yǔqì|tone; manner of speaking; mood; CL:個/个[ge4]
宇宙|yǔzhòu|universe; cosmos
预报|yùbào|forecast
预订|yùdìng|to place an order; to book ahead
预防|yùfáng|to prevent; to take precautions against; to protect; to guard against; precautionary; prophylactic
玉米|yùmǐ|corn; maize; CL:粒[li4]
元旦|yuándàn|New Year's Day
原料|yuánliào|raw material; CL:個/个[ge4]
原则|yuánzé|principle; doctrine; CL:個/个[ge4]
缘故|yuángù|reason; cause
愿望|yuànwàng|desire; wish
晕|yūn|confused; dizzy; giddy; to faint; to swoon; to lose consciousness; to pass out; dizzy; halo; ring around moon or sun
运气|yùnqì|luck (good or bad)
运输|yùnshū|to transport; to carry; transportation
运用|yùnyòng|to use; to put to use
灾害|zāihài|calamity; disaster; CL:個/个[ge4]
再三|zàisān|over and over again; again and again
赞成|zànchéng|to approve; to endorse; (literary) to assist
赞美|zànměi|to admire; to praise; to eulogize
糟糕|zāogāo|too bad; how terrible; what bad luck; terrible; bad
造成|zàochéng|to bring about; to create; to cause
则|zé|(conjunction used to express contrast with a previous clause) but; then; standard; norm; principle; to imitate; to follow; classifier for written items
责备|zébèi|to blame; to criticize; condemnation; reproach
摘|zhāi|to take; to borrow; to pick (flowers, fruit etc); to pluck; to select; to remove; to take off (glasses, hat etc)
粘贴|niántiē|to stick; to affix; to adhere; to paste (as in "copy and paste"); Taiwan pr. [nian2 tie1]; also written 黏貼/黏贴[nian2 tie1]
展开|zhǎnkāi|to unfold; to carry out; to be in full swing; to launch
展览|zhǎnlǎn|to put on display; to exhibit; exhibition; show; CL:個/个[ge4],次[ci4]
战争|zhànzhēng|war; conflict; CL:場/场[chang2],次[ci4]
占线|zhānxiàn|busy (telephone line)
涨|zhǎng|to rise (of prices, rivers); to swell; to distend
掌握|zhǎngwò|to grasp (often fig.); to control; to seize (initiative, opportunity, destiny); to master; to know well; to understand sth well and know how to use it; fluency
账户|zhànghù|bank account; online account
招待|zhāodài|to receive (guests); to entertain; reception
着凉|zháoliáng|to catch cold; Taiwan pr. [zhao1 liang2]
照常|zhàocháng|as usual
召开|zhàokāi|to convene (a conference or meeting); to convoke; to call together
哲学|zhéxué|philosophy; CL:個/个[ge4]
真理|zhēnlǐ|truth; CL:個/个[ge4]
真实|zhēnshí|true; real
针对|zhēndùi|to target; to focus on; to be aimed at or against; in response to
珍惜|zhēnxī|to treasure; to value; to cherish
诊断|zhěnduàn|diagnosis; to diagnose
枕头|zhěntóu|pillow
阵|zhèn|disposition of troops; wave; spate; burst; spell; short period of time; classifier for events or states of short duration
振动|zhèndòng|to vibrate; to shake; vibration
睁|zhēng|to open (one's eyes)
争论|zhēnglùn|to argue; to debate; to contend; argument; contention; controversy; debate; CL:次[ci4],場/场[chang3]
争取|zhēngqǔ|to fight for; to strive for; to win over
征求|zhēngqíu|to solicit; to seek; to request (opinions, feedback etc); to petition
整个|zhěnggè|whole; entire; total
整体|zhěngtǐ|whole entity; entire body; synthesis; as a whole (situation, construction, team etc); global; macrocosm; integral; holistic; whole
正|zhèng|first month of the lunar year; straight; upright; proper; main; principal; to correct; to rectify; exactly; just (at that time); right (in that place); (math.) positive
政策|zhèngcè|policy; CL:個/个[ge4]
政府|zhèngfǔ|government; CL:個/个[ge4]
政治|zhèngzhì|politics; political
证件|zhèngjiàn|certificate; papers; credentials; document; ID
证据|zhèngjù|evidence; proof; testimony
挣钱|zhēngqián|to make money
支|zhī|surname Zhi; to support; to sustain; to erect; to raise; branch; division; to draw money; classifier for rods such as pens and guns, for army divisions and for songs or compositions
支票|zhīpiào|check (bank); cheque; CL:本[ben3]
直|zhí|surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農/神农[Shen2 nong2] Farmer God; straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters
执行|zhíxíng|to implement; to carry out; to execute; to run
执照|zhízhào|license; permit
指导|zhǐdǎo|to guide; to give directions; to direct; to coach; guidance; tuition; CL:個/个[ge4]
指挥|zhǐhūi|to conduct; to command; to direct; conductor (of an orchestra); CL:個/个[ge4]
制定|zhìdìng|to draw up; to formulate
制度|zhìdù|system (e.g. political, adminstrative etc); institution; CL:個/个[ge4]
制作|zhìzuò|to make; to manufacture
智慧|zhìhùi|wisdom; knowledge; intelligent; intelligence
至今|zhìjīn|so far; to this day; until now
至于|zhìyú|as for; as to; to go so far as to
治疗|zhìliáo|to treat (an illness); medical treatment; therapy
志愿者|zhìyuànzhě|volunteer
秩序|zhìxù|order (orderly); order (sequence); social order; the state (of society); CL:個/个[ge4]
钟|zhōng|surname Zhong; handleless cup; goblet; to concentrate; variant of 鐘/钟[zhong1]; clock; o'clock; time as measured in hours and minutes; bell; CL:架[jia4],座[zuo4]
中介|zhōngjiè|to act as intermediary; to link; intermediate; inter-; agency; agent
中心|zhōngxīn|center; heart; core; CL:個/个[ge4]
中旬|zhōngxún|middle third of a month
重|zhòng|to repeat; repetition; again; re-; classifier: layer; heavy; serious; to attach importance to
重量|zhòngliàng|weight; CL:個/个[ge4]
周到|zhōudào|thoughtful; considerate; attentive; thorough; also pr. [zhou1 dao5]
逐步|zhúbù|progressively; step by step
竹子|zhúzǐ|bamboo; CL:棵[ke1],支[zhi1],根[gen1]
煮|zhǔ|variant of 煮[zhu3]; to cook; to boil
主持|zhǔchí|to take charge of; to manage or direct; to preside over; to uphold; to stand for (justice etc); to host (a TV or radio program etc); (TV) anchor
主观|zhǔguān|subjective
主人|zhǔrén|master; host; owner; CL:個/个[ge4]
主席|zhǔxí|chairperson; premier; chairman; CL:個/个[ge4],位[wei4]
主张|zhǔzhāng|to advocate; to stand for; view; position; stand; proposition; viewpoint; assertion; CL:個/个[ge4]
嘱咐|zhǔfù|to tell; to exhort; injunction
祝福|zhùfú|blessings; to wish sb well
注册|zhùcè|to register; to enroll
抓紧|zhuājǐn|to grasp firmly; to pay special attention to; to rush in; to make the most of
专家|zhuānjiā|expert; specialist; CL:個/个[ge4]
专心|zhuānxīn|to concentrate; absorption; concentration; engrossed
转变|zhuǎnbiàn|to change; to transform; shift; transformation; CL:個/个[ge4]
转告|zhuǎngào|to pass on; to communicate; to transmit
装|zhuāng|adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack
装饰|zhuāngshì|to decorate; decoration; decorative; ornamental
状况|zhuàngkuàng|condition; state; situation; CL:個/个[ge4]
状态|zhuàngtài|state of affairs; state; mode; situation; CL:個/个[ge4]
追求|zhūiqíu|to pursue (a goal etc) stubbornly; to seek after; to woo
资格|zīgé|qualifications; seniority
资金|zījīn|funds; funding; capital
资料|zīliào|material; resources; data; information; profile (Internet); CL:份[fen4],個/个[ge4]
资源|zīyuán|Ziyuan county in Guilin 桂林[Gui4 lin2], Guangxi; natural resource (such as water or minerals); resource (such as manpower or tourism)
姿势|zīshì|posture; position
咨询|zīxún|to consult; to seek advice; consultation; (sales) inquiry (formal)
紫|zǐ|purple; violet
字幕|zìmù|caption; subtitle
自从|zìcóng|since (a time); ever since
自动|zìdòng|automatic; voluntarily
自豪|zìháo|proud (of one's achievements etc)
自觉|zìjué|conscious; aware; on one's own initiative; conscientious
自私|zìsī|selfish; selfishness
自信|zìxìn|to have confidence in oneself; self-confidence
自由|zìyóu|freedom; free; liberty; CL:個/个[ge4]
自愿|zìyuàn|voluntary
综合|zònghé|comprehensive; composite; synthesized; mixed; to sum up; to integrate; to synthesize
宗教|zōngjiào|religion
总裁|zǒngcái|chairman; director-general (of a company etc)
总共|zǒnggòng|altogether; in sum; in all; in total
总理|zǒnglǐ|premier; prime minister; CL:個/个[ge4],位[wei4],名[ming2]
总算|zǒngsuàn|at long last; finally; on the whole
总统|zǒngtǒng|president (of a country); CL:個/个[ge4],位[wei4],名[ming2],屆/届[jie4]
总之|zǒngzhī|in a word; in short; in brief
组合|zǔhé|to assemble; to combine; to compose; combination; association; set; compilation; (math.) combinatorial
阻止|zǔzhǐ|to prevent; to block
祖国|zǔguó|motherland
祖先|zǔxiān|ancestor; forebears
醉|zùi|intoxicated
最初|zùichū|first; primary; initial; original; at first; initially; originally
罪犯|zùifàn|criminal
尊敬|zūnjìng|to respect; to revere
遵守|zūnshǒu|to comply with; to abide by; to respect (an agreement)
作品|zuòpǐn|work (of art); opus; CL:部[bu4],篇[pian1]
作为|zuòwèi|one's conduct; deed; activity; accomplishment; achievement; to act as; as (in the capacity of); qua; to view as; to look upon (sth as); to take sth to be
作文|zuòwén|to write an essay; composition (student essay); CL:篇[pian1]
