character-simplified|pinyin|definition
缺口|quēkǒu|nick; jag; gap; shortfall
缺席|quēxí|absence; absent
缺陷|quēxiàn|defect; flaw; physical defect
瘸|qué|lame
确保|quèbǎo|to ensure; to guarantee
确立|quèlì|to establish; to institute
确切|quèqiē|definite; exact; precise
确信|quèxìn|to be convinced; to be sure; to firmly believe; to be positive that; definite news
群众|qúnzhòng|mass; multitude; the masses
染|rǎn|to dye; to catch (a disease); to acquire (bad habits etc); to contaminate; to add color washes to a painting
让步|ràngbù|to concede; to give in; to yield; a concession; (linguistics) concessive
饶恕|ráoshù|to forgive; to pardon; to spare
扰乱|rǎoluàn|to disturb; to perturb; to harass
惹祸|rěhuò|to stir up trouble; to invite disaster
热泪盈眶|rèlèiyíngkuàng|eyes brimming with tears of excitement (idiom); extremely moved
热门|rèmén|popular; hot; in vogue
人道|réndào|human sympathy; humanitarianism; humane; the "human way", one of the stages in the cycle of reincarnation (Buddhism); sexual intercourse
人格|réngé|personality; integrity; dignity
人工|réngōng|artificial; manpower; manual work
人家|rénjiā|household; dwelling; family; sb else's house; household business; house of woman's husband-to-be; CL:戶/户[hu4],家[jia1]; other people; sb else; he, she or they; I, me (referring to oneself as "one" or "people")
人间|rénjiān|the human world; the earth
人士|rénshì|person; figure; public figure
人为|rénwèi|artificial; man-made; having human cause or origin; human attempt or effort
人性|rénxìng|human nature; humanity; human; the totality of human attributes
人质|rénzhí|hostage
仁慈|réncí|benevolent; charitable; kind; kindly; kindness; merciful
忍耐|rěnnài|to endure; to bear with; to exercise patience; to restrain oneself; patience; endurance
忍受|rěnshòu|to bear; to endure
认定|rèndìng|to maintain (that sth is true); to determine (a fact); determination (of an amount); of the firm opinion; to believe firmly; to set one's mind on; to identify with
认可|rènkě|to approve; approval; acknowledgment; OK
任命|rènmìng|to appoint; (job) appointment; CL:紙/纸[zhi3]
任性|rènxìng|willful; headstrong; unruly
任意|rènyì|any; arbitrary; at will; at random
任重道远|rènzhòngdàoyuǎn|a heavy load and a long road; fig. to bear heavy responsibilities through a long struggle (cf Confucian Analects, 8.7)
仍旧|réngjìu|still (remaining); to remain (the same); yet
日新月异|rìxīnyuèyì|daily renewal, monthly change (idiom); every day sees new developments; rapid progress
日益|rìyì|day by day; more and more; increasingly; more and more with each passing day
融洽|róngqià|harmonious; friendly relations; on good terms with one another
溶解|róngjiě|to dissolve
容貌|róngmào|one's appearance; one's aspect; looks; features
容纳|róngnà|to hold; to contain; to accommodate; to tolerate (different opinions)
容器|róngqì|receptacle; vessel; (computing) container
容忍|róngrěn|to put up with; to tolerate
揉|róu|to knead; to massage; to rub
柔和|róuhé|gentle; soft
弱点|ruòdiǎn|weak point; failing
若干|ruògān|a certain number or amount; how many?; how much?
撒谎|sāhuǎng|to tell lies
腮|sāi|cheek; variant of 腮[sai1]
三角|sānjiǎo|triangle
散文|sànwén|prose; essay
散布|sànbù|to disseminate
散发|sànfā|to distribute; to emit; to issue
丧失|sāngshī|to lose; to forfeit
嫂子|sǎozǐ|(coll.) older brother's wife; sister-in-law; CL:個/个[ge4]
色彩|sècǎi|tint; coloring; coloration; (fig.) flavor; character
刹车|chàchē|to brake (when driving); to stop; to switch off; to check (bad habits); a brake
啥|shà|dialectal equivalent of 什麼/什么[shen2 me5]; also pr. [sha4]
筛选|shāixuǎn|to filter
山脉|shānmài|mountain range; CL:條/条[tiao2]
闪烁|shǎnshuò|flickering; twinkling; evasive; vague (of speech)
擅长|shàncháng|to be good at; to be expert in
擅自|shànzì|without permission
商标|shāngbiāo|trademark; logo
伤脑筋|shāngnǎojīn|to be a real headache; to find sth a real headache; to beat one's brains
上级|shàngjí|higher authorities; superiors; CL:個/个[ge4]
上进心|shàngjìnxīn|motivation; ambition
上任|shàngrèn|to take office; previous (incumbent); predecessor
上瘾|shàngyǐn|to get into a habit; to become addicted
上游|shàngyóu|upper reaches (of a river); upper level; upper echelon; upstream
捎|shāo|to bring sth to sb; to deliver
梢|shāo|tip of branch
哨|shào|a whistle; sentry
奢侈|shēchǐ|luxurious; extravagant
设立|shèlì|to set up; to establish
设想|shèxiǎng|to imagine; to assume; to envisage; tentative plan; to have consideration for
设置|shèzhì|to set up; to install
社区|shèqū|community; neighborhood
涉及|shèjí|to involve; to touch upon (a topic)
摄取|shèqǔ|to absorb (nutrients etc); to assimilate; intake; to take a photograph of (a scene)
摄氏度|shèshìdù|°C (degrees Celsius)
深奥|shēnào|profound; abstruse; recondite; profoundly
深沉|shēnchén|deep; profound; (of a person) reserved; undemonstrative; (of a voice, sound etc) deep; low-pitched
深情厚谊|shēnqínghòuyí|deep friendship
申报|shēnbào|to report (to the authorities); to declare (to customs)
绅士|shēnshì|gentleman
呻吟|shēnyín|to moan; to groan
神奇|shénqí|magical; mystical; miraculous
神气|shénqì|expression; manner; vigorous; impressive; lofty; pretentious
神情|shénqíng|look; expression
神色|shénsè|expression; look
神圣|shénshèng|divine; hallow; holy; sacred
神态|shéntài|appearance; manner; bearing; deportment; look; expression; mien
神仙|shénxiān|Daoist immortal; supernatural entity; (in modern fiction) fairy, elf, leprechaun etc; fig. lighthearted person
审查|shěnchá|to examine; to investigate; to censor out; censorship
审理|shěnlǐ|to hear (a case)
审美|shěnměi|esthetics; appreciating the arts; taste
审判|shěnpàn|a trial; to try sb
渗透|shèntòu|(of a liquid) to permeate; (lit. and fig.) to seep into; (of a product or idea) to penetrate (in a population); (of hostile forces) to infiltrate; (chemistry) osmosis
慎重|shènzhòng|cautious; careful; prudent
生存|shēngcún|to exist; to survive
生机|shēngjī|opportunity to live; to reprieve from death; life force; vitality
生理|shēnglǐ|physiology
生疏|shēngshū|unfamiliar; strange; out of practice; not accustomed
生态|shēngtài|ecology
生物|shēngwù|organism; living creature; life form; biological; CL:個/个[ge4]
生效|shēngxiào|to take effect; to go into effect
生锈|shēngxìu|to rust; to grow rusty; to corrode; oxidization
生育|shēngyù|to bear; to give birth; to grow; to rear; to bring up (children); fertility
牲畜|shēngchù|domesticated animals; livestock
声明|shēngmíng|to state; to declare; statement; declaration; CL:項/项[xiang4],份[fen4]
声势|shēngshì|fame and power; prestige; influence; impetus; momentum
声誉|shēngyù|reputation; fame
省会|shěnghùi|provincial capital
盛产|shèngchǎn|to produce in abundance; to be rich in
盛开|shèngkāi|blooming; in full flower
盛情|shèngqíng|great kindness; magnificent hospitality
盛行|shèngxíng|to be in vogue; to be prevalent
胜负|shèngfù|victory or defeat; the outcome of a battle
失误|shīwù|lapse; mistake; to make a mistake; fault; service fault (in volleyball, tennis etc)
失踪|shīzōng|to be missing; to disappear; unaccounted for
师范|shīfàn|teacher-training; pedagogical; normal (school, e.g. Beijing Normal University)
施加|shījiā|to exert (effort or pressure)
施展|shīzhǎn|to use fully; to put to use
尸体|shītǐ|dead body; corpse; carcass; CL:具[ju4]
拾|shí|to ascend in light steps; to pick up; to collate or arrange; ten (banker's anti-fraud numeral)
十足|shízú|ample; complete; hundred percent; a pure shade (of some color)
识别|shìbié|to distinguish; to discern
时差|shíchà|time difference; time lag; jet lag
时常|shícháng|often; frequently
时而|shíér|occasionally; from time to time
时光|shíguāng|time; era; period of time
时机|shíjī|fortunate timing; occasion; opportunity
时事|shíshì|current trends; the present situation; how things are going
时装|shízhuāng|fashion; fashionable clothes
实惠|shíhùi|tangible benefit; material advantages; cheap; economical; advantageous (deal); substantial (discount)
实力|shílì|strength
实施|shíshī|to implement; to carry out
实事求是|shíshìqíushì|to seek truth from facts (idiom); to be practical and realistic
实质|shízhí|substance; essence
石油|shíyóu|oil; petroleum
使命|shǐmìng|mission; long-term task to which one devotes oneself; a calling
是非|shìfēi|right and wrong; quarrel
试图|shìtú|to attempt; to try
试验|shìyàn|experiment; test; CL:次[ci4],個/个[ge4]; to experiment; experimental
势必|shìbì|to be bound to; undoubtedly will
势力|shìlì|power; (ability to) influence
世代|shìdài|for many generations; generation; era; age
世界观|shìjièguān|worldview; world outlook; Weltanschauung
示范|shìfàn|to demonstrate; to show how to do sth; demonstration; a model example
示威|shìwēi|to demonstrate (as a protest); a demonstration; a military show of force
示意|shìyì|to hint; to indicate (an idea to sb)
释放|shìfàng|to release; to set free; to liberate (a prisoner); to discharge
事故|shìgù|accident; CL:樁/桩[zhuang1],起[qi3],次[ci4]
事迹|shìjī|deed; past achievement; important event of the past
事件|shìjiàn|event; happening; incident; CL:個/个[ge4]
事态|shìtài|situation; existing state of affairs
事务|shìwù|(political, economic etc) affairs; work; transaction (as in a computer database)
事项|shìxiàng|matter; item
事业|shìyè|undertaking; project; activity; (charitable, political or revolutionary) cause; publicly funded institution, enterprise or foundation; career; occupation; CL:個/个[ge4]
适宜|shìyí|suitable; appropriate
视力|shìlì|vision; eyesight
视线|shìxiàn|line of sight
视野|shìyě|field of view; horizon
逝世|shìshì|to pass away; to die
收藏|shōucáng|to hoard; to collect; collection; to bookmark (Internet)
收缩|shōusuō|to pull back; to shrink; to contract; (physiology) systole
收益|shōuyì|earnings; profit
收音机|shōuyīnjī|radio; CL:臺/台[tai2]
手法|shǒufǎ|technique; trick; skill
手势|shǒushì|gesture; sign; signal
手艺|shǒuyì|craftmanship; workmanship; handicraft; trade
首要|shǒuyào|the most important; of chief importance
守护|shǒuhù|to guard; to protect
受罪|shòuzùi|to endure; to suffer; hardships; torments; a hard time; a nuisance
授予|shòuyú|to award; to confer
书法|shūfǎ|calligraphy; handwriting; penmanship
书籍|shūjí|books; works
书记|shūjì|secretary (chief official of a branch of a socialist or communist party); clerk; scribe
书面|shūmiàn|in writing; written
舒畅|shūchàng|happy; entirely free from worry
疏忽|shūhū|to neglect; to overlook; negligence; carelessness
数|shù|to count; to count as; to regard as; to enumerate (sb's shortcomings); number; figure; several; CL:個/个[ge4]; frequently; repeatedly
竖|shù|variant of 豎/竖[shu4]; to erect; vertical; vertical stroke (in Chinese characters)
束|shù|surname Shu; to bind; bunch; bundle; classifier for bunches, bundles, beams of light etc; to control
束缚|shùfú|to bind; to restrict; to tie; to commit; fetters
树立|shùlì|to set up; to establish
数额|shùé|amount; sum of money; fixed number
数目|shùmù|amount; number
耍|shuǎ|surname Shua; to play with; to wield; to act (cool etc); to display (a skill, one's temper etc)
衰老|shuāilǎo|to age; to deteriorate with age; old and weak
衰退|shuāitùi|to decline; to fall; to drop; to falter; a decline; recession (in economics)
率领|lv̀lǐng|to lead; to command; to head
涮|shuàn|to rinse; to trick; to fool sb; to cook by dipping finely sliced ingredients briefly in boiling water or soup (generally done at the dining table)
双胞胎|shuāngbāotāi|twin; CL:對/对[dui4]
爽快|shuǎngkuài|refreshed; rejuvenated; frank and straightforward
水利|shǔilì|water conservancy; irrigation works
水龙头|shǔilóngtóu|faucet; tap
水泥|shǔiní|cement; CL:袋[dai4]
司法|sīfǎ|judicial; (administration of) justice
司令|sīlìng|commanding officer
思念|sīniàn|to think of; to long for; to miss
思索|sīsuǒ|to think deeply; to ponder
思维|sīwéi|(line of) thought; thinking
思绪|sīxù|train of thought; emotional state; mood; feeling
私自|sīzì|private; personal; secretly; without explicit approval
斯文|sīwén|refined; educate; cultured; intellectual; polite; gentle
死亡|sǐwáng|to die; death
四肢|sìzhī|the four limbs of the body
肆无忌惮|sìwújìdàn|absolutely unrestrained; unbridled; without the slightest scruple
饲养|sìyǎng|to raise; to rear
耸|sǒng|to excite; to raise up; to shrug; high; lofty; towering
艘|sāo|classifier for ships; Taiwan pr. [sao1]
搜索|sōusuǒ|to search (a place); to search (a database etc)
苏醒|sūxǐng|to come to; to awaken; to regain consciousness
俗话|súhuà|common saying; proverb
塑造|sùzào|to model; to mold; (fig.) to create (a character, a market, an image etc); (literature) to portray (in words)
素食|sùshí|vegetables; vegetarian food
素质|sùzhí|inner quality; basic essence
诉讼|sùsòng|lawsuit
算了|suànle|let it be; let it pass; forget about it
算数|suànshù|to count numbers; to keep to one's word; to hold (i.e. to remain valid); to count (i.e. to be important)
随即|súijí|immediately; presently; following which
随身|súishēn|to (carry) on one's person; to (take) with one
随手|súishǒu|conveniently; without extra trouble; while doing it; in passing
随意|súiyì|as one wishes; according to one's wishes; at will; voluntary; conscious
岁月|sùiyuè|years; time
隧道|sùidào|tunnel
损坏|sǔnhuài|to damage; to injure
索赔|suǒpéi|to ask for compensation; to claim damages; claim for damages
索性|suǒxìng|you might as well (do it); simply; just
塌|tā|to collapse; to droop; to settle down
踏实|tàshí|firmly-based; steady; steadfast; to have peace of mind; free from anxiety; Taiwan pr. [ta4 shi2]
台风|táifēng|stage presence, poise; hurricane; typhoon
太空|tàikōng|outer space
泰斗|tàidǒu|leading scholar of his time; magnate
瘫痪|tānhuàn|paralysis; be paralyzed (body, transportation, etc)
贪婪|tānlán|avaricious; greedy; rapacious; insatiable; avid
贪污|tānwū|to be corrupt; corruption; to embezzle
摊儿|tānér|erhua variant of 攤/摊[tan1]
弹性|dànxìng|flexibility; elasticity
坦白|tǎnbái|honest; forthcoming; to confess
探测|tàncè|to probe; to take readings; to explore; exploration
探索|tànsuǒ|to explore; to probe
探讨|tàntǎo|to investigate; to probe
探望|tànwàng|to visit; to call on sb; to look around
叹气|tànqì|to sigh; to heave a sigh
糖葫芦|tánghúlú|sugar-coated Chinese hawthorn or other fruit on a stick; tanghulu
倘若|tǎngruò|provided that; supposing that; if
掏|tāo|to fish out (from pocket); to scoop; variant of 掏[tao1]
滔滔不绝|tāotāobùjué|unceasing torrent (idiom); talking non-stop; gabbling forty to the dozen
陶瓷|táocí|pottery and porcelain; ceramics
淘气|táoqì|naughty; mischievous
淘汰|táotài|to wash out; elimination (by selection); natural selection; to knock out (in a competition); to die out; to phase out
讨价还价|tǎojiàhuánjià|to haggle over price; to bargain
特长|tècháng|personal strength; one's special ability or strong points
特定|tèdìng|special; specific; designated; particular
特色|tèsè|characteristic; distinguishing feature or quality
提拔|tíbá|to promote to a higher job; to select for promotion
提炼|tíliàn|to extract (ore, minerals etc); to refine; to purify; to process
提示|tíshì|to point out; to remind (sb of sth); to suggest; suggestion; tip; reminder; notice
提议|tíyì|proposal; suggestion; to propose; to suggest
题材|tícái|subject matter
体谅|tǐliàng|to empathize; to allow (for sth); to show understanding; to appreciate
体面|tǐmiàn|dignity; face (as in "losing face"); honorable; creditable; (of sb's appearance) presentable; respectable
体系|tǐxì|system; setup; CL:個/个[ge4]
天才|tiāncái|talent; gift; genius; talented; gifted
天伦之乐|tiānlúnzhīlè|family love and joy; domestic bliss
天然气|tiānránqì|natural gas
天生|tiānshēng|nature; disposition; innate; natural
天堂|tiāntáng|paradise; heaven
天文|tiānwén|astronomy
田径|tiánjìng|track and field (athletics)
舔|tiǎn|to lick; to lap
挑剔|tiāotī|picky; fussy
条款|tiáokuǎn|clause (of contract or law); CL:項/项[xiang4]
条理|tiáolǐ|arrangement; order; tidiness
条约|tiáoyuē|treaty; pact; CL:個/个[ge4]
调和|diàohé|harmonious; to mediate; to reconcile; to compromise; mediation; to mix; to blend; blended; to season; seasoning; to placate
调剂|diàojì|to adjust; to balance; to make up a medical prescription
调节|diàojié|to adjust; to regulate; to harmonize; to reconcile (accountancy etc)
调解|diàojiě|to mediate; to bring parties to an agreement
调料|diàoliào|condiment; seasoning; flavoring
挑拨|tiāobō|to incite disharmony; to instigate
挑衅|tiāoxìn|to provoke; provocation
跳跃|tiàoyuè|to jump; to leap; to bound; to skip
停泊|tíngbó|to anchor; anchorage; mooring (of a ship)
停顿|tíngdùn|to halt; to break off; pause (in speech)
停滞|tíngzhì|stagnation; at a standstill; bogged down
亭子|tíngzǐ|pavilion
挺拔|tǐngbá|tall and straight
通货|tōnghuò|currency; exchange of goods
通俗|tōngsú|common; everyday; average
通用|tōngyòng|to use anywhere, anytime (card, ticket etc); to be used by everyone (language, textbook etc); (of two or more things) interchangeable
铜矿|tóngkuàng|copper mine; copper ore
同胞|tóngbāo|born of the same parents; sibling; fellow citizen; compatriot
同志|tóngzhì|comrade; (slang) homosexual; CL:個/个[ge4]
童话|tónghuà|children's fairy tales
统筹兼顾|tǒngchóujiāngù|an overall plan taking into account all factors
统计|tǒngjì|statistics; to count; to add up
统统|tǒngtǒng|totally
投机|tóujī|to speculate (on financial markets); opportunistic; congenial; agreeable
投票|tóupiào|to vote; vote
投降|tóujiàng|to surrender; surrender
投掷|tóuzhí|to throw sth a long distance; to hurl; to throw at; to throw (dice etc); to flip (a coin)
秃|tū|bald; blunt
突破|tūpò|to break through; to make a breakthrough; to surmount or break the back of (a task etc); (of ball sports) to break through a defense
图案|túàn|design; pattern
徒弟|túdì|apprentice; disciple
途径|tújìng|way; channel
涂抹|túmǒ|to paint; to smear; to apply (makeup etc); to doodle; to erase; to obliterate
土壤|tǔrǎng|soil
团结|tuánjié|to unite; unity; solidarity; united
团体|tuántǐ|group; organization; team; CL:個/个[ge4]
团圆|tuányuán|to have a reunion
推测|tūicè|speculation; to conjecture; to surmise; to speculate
推翻|tūifān|to overthrow
推理|tūilǐ|reasoning; inference; to infer; to deduce
推论|tūilùn|to infer; inference; corollary; reasoned conclusion
推销|tūixiāo|to market; to sell
吞咽|tūnyān|to swallow; to gulp
脱离|tuōlí|to separate oneself from; to break away from; diastasis (medicine); abscission; abjunction (botany)
拖延|tuōyán|to delay; to put off; to procrastinate
托运|tuōyùn|to consign (goods); to check through (baggage)
妥当|tuǒdāng|appropriate; proper; ready
妥善|tuǒshàn|appropriate; proper
妥协|tuǒxié|to compromise; to reach terms; a compromise
椭圆|tuǒyuán|oval; ellipse; elliptic
唾沫|tuòmò|spittle; saliva
挖掘|wājué|to excavate; to dig; to unearth
娃娃|wáwá|baby; small child; doll
瓦解|wǎjiě|to collapse; to disintegrate; to crumble
哇|wā|Wow!; sound of child's crying; sound of vomiting; replaces 啊[a5] when following the vowel "u" or "ao"
歪曲|wāiqū|to distort; to misrepresent
外表|wàibiǎo|external; outside; outward appearance
外行|wàixíng|layman; amateur
外界|wàijiè|the outside world; external
外向|wàixiàng|extroverted (personality); (economics etc) export-oriented
丸|wán|ball; pellet; pill
完备|wánbèi|faultless; complete; perfect; to leave nothing to be desired
完毕|wánbì|to finish; to end; to complete
玩弄|wánnòng|to play with; to toy with; to dally with; to engage in; to resort to
玩意儿|wányìér|erhua variant of 玩意[wan2 yi4]
顽固|wángù|stubborn; obstinate
顽强|wánqiáng|tenacious; hard to defeat
挽回|wǎnhúi|to retrieve; to redeem
挽救|wǎnjìu|to save; to remedy; to rescue
惋惜|wǎnxī|to regret; to feel that it is a great pity; to feel sorry for sb
万分|wànfēn|very much; extremely; one ten thousandth part
往常|wǎngcháng|usual; customary
往事|wǎngshì|past events; former happenings
网络|wǎngluò|Internet; network (computing, telecommunications, transport etc)
妄想|wàngxiǎng|to attempt vainly; a vain attempt; delusion
微不足道|wēibùzúdào|negligible; insignificant
微观|wēiguān|micro-; subatomic
威风|wēifēng|might; awe-inspiring authority; impressive
威力|wēilì|might; formidable power
威望|wēiwàng|prestige
威信|wēixìn|Weixin county in Zhaotong 昭通[Zhao1 tong1], Yunnan; prestige; reputation; trust; credit with the people
危机|wēijī|crisis; CL:個/个[ge4]
违背|wéibèi|to go against; to be contrary to; to violate
维持|wéichí|to keep; to maintain; to preserve
维生素|wéishēngsù|vitamin
维修|wéixīu|maintenance (of equipment); to protect and maintain
唯独|wéidú|only; just (i.e. it is only that...); all except; unique
为难|wèinán|to feel embarrassed or awkward; to make things difficult (for someone); to find things difficult (to do or manage)
为期|wèiqī|(to be done) by (a certain date); lasting (a certain time)
为首|wèishǒu|head; be headed by
委员|wěiyuán|committee member; committee; council; CL:個/个[ge4]
伪造|wěizào|to forge; to fake; to counterfeit
胃口|wèikǒu|appetite; liking
位于|wèiyú|to be located at; to be situated at; to lie
未免|wèimiǎn|unavoidably; can't help; really; rather
畏惧|wèijù|to fear; to dread; foreboding
卫星|wèixīng|satellite; moon; CL:顆/颗[ke1]
慰问|wèiwèn|to express sympathy, greetings, consolation etc
温带|wēndài|temperate zone
温和|wēnhé|mild; gentle; moderate; lukewarm
文凭|wénpíng|diploma
文物|wénwù|cultural relic; historical relic; CL:件[jian4],個/个[ge4]
文献|wénxiàn|document
文雅|wényǎ|elegant; refined
文艺|wényì|literature and art
问世|wènshì|to be published; to come out
窝|wō|nest; pit or hollow on the human body; lair; den; place; to harbor or shelter; to hold in check; to bend; classifier for litters and broods
乌黑|wūhēi|jet-black; dark
污蔑|wūmiè|variant of 污衊/污蔑[wu1 mie4]; to slander; to smear; to tarnish
诬陷|wúxiàn|to entrap; to frame; to plant false evidence against sb
无比|wúbǐ|incomparable; matchless
无偿|wúcháng|free; no charge; at no cost
无耻|wúchǐ|without any sense of shame; unembarrassed; shameless
无从|wúcóng|not to have access; beyond one's authority or capability; sth one has no way of doing
无动于衷|wúdòngyúzhōng|aloof; indifferent; unconcerned
无非|wúfēi|only; nothing else
无可奉告|wúkěfènggào|(idiom) "no comment"
无可奈何|wúkěnàihé|have no way out; have no alternative; abbr. to 無奈/无奈[wu2 nai4]
无赖|wúlài|hoodlum; rascal; rogue; rascally; scoundrelly
无能为力|wúnéngwèilì|impotent (idiom); powerless; helpless
无穷无尽|wúqióngwújǐn|endless; boundless; infinite
无忧无虑|wúyōuwúlv̀|carefree and without worries (idiom)
无知|wúzhī|ignorant; ignorance
舞蹈|wǔdǎo|dance (performance art); dancing
武侠|wǔxiá|martial arts chivalry (Chinese literary, theatrical and cinema genre); knight-errant
武装|wǔzhuāng|arms; equipment; to arm; military; armed (forces)
侮辱|wǔrǔ|to insult; to humiliate; dishonor
勿|wù|do not
务必|wùbì|must; to need to; to be sure to
务实|wùshí|pragmatic; dealing with concrete issues
误差|wùchà|difference; error; inaccuracy
误解|wùjiě|to misunderstand; to misread; misunderstanding
物美价廉|wùměijiàlián|good quality and cheap; a bargain
物资|wùzī|goods; supplies
溪|xī|creek; rivulet; variant of 溪[xi1]
膝盖|xīgài|knee; (Internet slang) to kneel down (in admiration)
熄灭|xímiè|to stop burning; to go out (of fire); to die out; extinguished
吸取|xīqǔ|to absorb; to draw (a lesson, insight etc); to assimilate
昔日|xīrì|formerly; in olden days
牺牲|xīshēng|to sacrifice one's life; to sacrifice (sth valued); beast slaughtered as a sacrifice
夕阳|xīyáng|sunset; the setting sun
媳妇|xífù|daughter-in-law; wife (of a younger man); young married woman; young woman
习俗|xísú|custom; tradition; local tradition; convention
袭击|xíjí|attack (esp. surprise attack); raid; to attack
喜闻乐见|xǐwénlèjiàn|to love to hear and see (idiom); well received; to one's liking
喜悦|xǐyuè|happy; joyous
系列|xìliè|series; set
细胞|xìbāo|cell (biology)
细菌|xìjūn|bacterium; germ
细致|xìzhì|delicate; fine; careful; meticulous; painstaking
霞|xiá|rose-tinted sky or clouds at sunrise or sunset
狭隘|xiáài|narrow; tight; narrow minded; lacking in experience
狭窄|xiázhǎi|narrow
峡谷|xiágǔ|canyon; gill; ravine
夏令营|xiàlìngyíng|summer camp
下属|xiàshǔ|subordinate; underling
先进|xiānjìn|advanced (technology); to advance
先前|xiānqián|before; previously
鲜明|xiānmíng|bright; clear-cut; distinct
掀起|xiānqǐ|to lift; to raise in height; to begin; upsurge; to set off (a campaign)
纤维|xiānwéi|fiber; CL:種/种[zhong3]
弦|xián|bow string; string of musical instrument; watchspring; chord (segment of curve); hypotenuse; CL:根[gen1]
嫌|xián|to dislike; suspicion; resentment; enmity; abbr. for 嫌犯[xian2 fan4], criminal suspect
嫌疑|xiányí|suspicion; to have suspicions
闲话|xiánhuà|casual conversation; chat; gossip; to talk about (whatever comes to mind)
贤惠|xiánhùi|variant of 賢慧/贤慧[xian2 hui4]
衔接|xiánjiē|to join together; to combine
显著|xiǎnzhù|outstanding; notable; remarkable; statistically significant
现场|xiàncháng|the scene (of a crime, accident etc); (on) the spot; (at) the site
现成|xiànchéng|ready-made; readily available
现状|xiànzhuàng|current situation
宪法|xiànfǎ|constitution (of a country); CL:部[bu4]
陷害|xiànhài|to entrap; to set up; to frame (up); to make false charges against
陷入|xiànrù|to sink into; to get caught up in; to land in (a predicament)
馅儿|xiànér|erhua variant of 餡/馅[xian4]
线索|xiànsuǒ|trail; clues; thread (of a story)
相差|xiāngchà|to differ; discrepancy between
相等|xiāngděng|equal; equally; equivalent
相辅相成|xiāngfǔxiāngchéng|to complement one another (idiom)
相应|xiāngyìng|to correspond; answering (one another); to agree (among the part); corresponding; relevant; appropriate; (modify) accordingly
镶嵌|xiāngqiàn|to inlay; to embed; to set (e.g. a jewel in a ring); tiling; tesselation
乡镇|xiāngzhèn|village; township
响亮|xiǎngliàng|loud and clear; resounding
响应|xiǎngyìng|to respond to; answer; CL:個/个[ge4]
巷|xiàng|lane; alley
向导|xiàngdǎo|guide
向来|xiànglái|always (previously)
向往|xiàngwǎng|to yearn for; to look forward to
消除|xiāochú|to eliminate; to remove
消毒|xiāodú|to disinfect; to sterilize
消防|xiāofáng|firefighting; fire control
消耗|xiāohào|to use up; to consume
消极|xiāojí|negative; passive; inactive
销毁|xiāohǔi|to destroy (by melting or burning); to obliterate
效益|xiàoyì|benefit; effectiveness; efficiency
肖像|xiàoxiàng|portrait (painting, photo etc); (in a general sense) representation of a person; likeness
携带|xiédài|to carry (on one's person); to support (old); Taiwan pr. [xi1 dai4]
协会|xiéhùi|an association; a society; CL:個/个[ge4],家[jia1]
协商|xiéshāng|to consult with; to talk things over; agreement
协议|xiéyì|agreement; pact; protocol; CL:項/项[xiang4]
协助|xiézhù|to provide assistance; to aid
写作|xiězuò|to write; to compose; writing; written works
屑|xiè|bits; fragments; crumbs; filings; trifling; trivial; to condescend to
谢绝|xièjué|to refuse politely
泄露|xièlù|to leak (information); to divulge; also pr. [xie4 lou4]
泄气|xièqì|to leak (gas); to be discouraged; to despair; (disparaging) pathetic; to vent one's anger; (of a tire) to be flat
新陈代谢|xīnchéndàixiè|metabolism (biology); the new replaces the old (idiom)
新郎|xīnláng|bridegroom; groom
新娘|xīnniáng|bride
新颖|xīnyǐng|lit. new bud; fig. new and original
心得|xīndé|what one has learned (through experience, reading etc); knowledge; insight; understanding; tips; CL:項/项[xiang4],個/个[ge4]
心灵|xīnlíng|bright; smart; quick-witted; heart; thoughts; spirit
心态|xīntài|attitude (of the heart); state of one's psyche; way of thinking; mentality
心疼|xīnténg|to love dearly; to feel sorry for sb; to regret; to grudge; to be distressed
心血|xīnxiě|heart's blood; expenditure (for some project); meticulous care
心眼儿|xīnyǎnér|one's thoughts; mind; intention; willingness to accept new ideas; baseless suspicions
辛勤|xīnqín|hardworking; industrious
欣慰|xīnwèi|to be gratified
欣欣向荣|xīnxīnxiàngróng|(idiom) flourishing; thriving
薪水|xīnshǔi|salary; wage
信赖|xìnlài|to trust; to have confidence in; to have faith in; to rely on
信念|xìnniàn|faith; belief; conviction
信仰|xìnyǎng|to believe in (a religion); firm belief; conviction
信誉|xìnyù|prestige; distinction; reputation; trust
腥|xīng|fishy (smell)
兴隆|xīnglóng|Xinglong county in Chengde 承德[Cheng2 de2], Hebei; prosperous; thriving; flourishing
兴旺|xīngwàng|prosperous; thriving; to prosper; to flourish
行政|xíngzhèng|administrative; executive (attributive)
形态|xíngtài|shape; form; pattern; morphology
刑事|xíngshì|criminal; penal
性感|xìnggǎn|sex appeal; eroticism; sexuality; sexy
性命|xìngmìng|life
性能|xìngnéng|function; performance
性情|xìngqíng|nature; temperament
幸好|xìnghǎo|fortunately
兴高采烈|xīnggāocǎiliè|happy and excited (idiom); in high spirits; in great delight
胸怀|xiōnghuái|one's bosom (the seat of emotions); breast; broad-minded and open; to think about; to cherish
胸膛|xiōngtáng|chest
凶恶|xiōngè|fierce; ferocious; fiendish; frightening; variant of 兇惡/凶恶, fierce; ferocious; fiendish; frightening
凶手|xiōngshǒu|murderer; assassin
雄厚|xiónghòu|robust; strong and solid
修复|xīufù|to restore; to renovate; restoration; (computing) to fix (a bug)
